date   REG1_contr  lpyear
201507  8.8500000000000000E-01  9.9920072216264000E-16
201508 -6.6555555555555000E-01  8.8817841970012000E-16
201509  8.9000000000000000E-01  1.7763568394002000E-15
201510 -2.2444444444444000E-01  8.8817841970012000E-16
201511  5.5555555555648000E-04  1.8318679906315000E-15
201512  8.8944444444444000E-01  8.8817841970012000E-16
201601 -2.2216666666666000E+00  0.0000000000000000E+00
201602  8.6452380952381000E-01  7.5785714285714000E-01
201603 -1.1111111111098000E-03  8.8817841970012000E-16
201604  2.3666666666666000E-01  1.8318679906315000E-15
201605  9.7138888888889000E-01  6.6613381477509000E-16
201606  1.4061111111111000E+00  1.7763568394002000E-15
201607 -2.2261111111111000E+00  8.8817841970012000E-16
201608  8.9000000000000000E-01  8.8817841970012000E-16
201609  8.9000000000000000E-01  1.7763568394002000E-15
201610 -1.7800000000000000E+00  8.8817841970012000E-16
201611  5.5555555555649000E-04  1.6653345369377000E-15
201612  8.8944444444444000E-01  8.8817841970012000E-16
201701  8.8944444444444000E-01 -2.2204460492503000E-16
201702 -1.3547619047619000E-01 -2.4214285714285000E-01
201703  1.5544444444444000E+00  8.8817841970012000E-16
201704 -2.8744444444444000E+00  1.5543122344752000E-15
201705  9.7138888888889000E-01  8.8817841970012000E-16
201706 -1.4944444444444000E-01  1.9984014443252000E-15
201707 -2.2261111111111000E+00  8.8817841970012000E-16
201708  8.9000000000000000E-01  8.8817841970012000E-16
201709 -6.6555555555555000E-01  1.7763568394002000E-15
201710 -2.2444444444444000E-01  8.8817841970012000E-16
201711  1.5561111111111000E+00  1.7763568394002000E-15
201712 -2.2216666666666000E+00  8.8817841970012000E-16
201801  8.8944444444444000E-01 -2.2204460492503000E-16
201802 -1.3547619047619000E-01 -2.4214285714285000E-01
201803 -1.1111111111098000E-03  8.8817841970012000E-16
201804 -1.3188888888888000E+00  1.8873791418627000E-15
201805 -5.8416666666666000E-01  6.6613381477509000E-16
201806 -1.4944444444444000E-01  1.7208456881689000E-15
201807  8.8500000000000000E-01  7.7715611723761000E-16
201808  8.9000000000000000E-01  7.7715611723761000E-16
201809 -2.2211111111111000E+00  1.7763568394002000E-15
201810  1.3311111111111000E+00  8.8817841970012000E-16
201811  1.5561111111111000E+00  1.9984014443252000E-15
201812 -2.2216666666666000E+00  8.8817841970012000E-16
201901  8.8944444444444000E-01 -1.1102230246251000E-16
201902 -1.3547619047619000E-01 -2.4214285714285000E-01
201903 -1.5566666666666000E+00  8.8817841970012000E-16
201904  2.3666666666666000E-01  1.8873791418627000E-15
201905  9.7138888888889000E-01  8.8817841970012000E-16
201906 -3.2605555555555000E+00  2.2204460492503000E-15
201907  2.4405555555555000E+00  8.8817841970012000E-16
201908 -6.6555555555555000E-01  9.9920072216264000E-16
201909 -6.6555555555555000E-01  1.7763568394002000E-15
201910  1.3311111111111000E+00  8.8817841970012000E-16
201911 -1.5550000000000000E+00  1.8873791418627000E-15
201912 -6.6611111111111000E-01  8.3266726846886000E-16
202001  8.8944444444444000E-01  0.0000000000000000E+00
202002 -6.9103174603174000E-01  7.5785714285714000E-01
202003 -1.1111111111098000E-03  8.8817841970012000E-16
202004  2.3666666666666000E-01  1.7208456881689000E-15
202005 -2.1397222222222000E+00  8.8817841970012000E-16
202006 -1.4944444444444000E-01  1.7763568394002000E-15
202007  8.8500000000000000E-01  9.9920072216264000E-16
202008 -6.6555555555555000E-01  8.8817841970012000E-16
202009  8.9000000000000000E-01  1.7763568394002000E-15
202010 -2.2444444444444000E-01  8.8817841970012000E-16
202011  5.5555555555648000E-04  1.8318679906315000E-15
202012  8.8944444444444000E-01  8.8817841970012000E-16
202101 -2.2216666666666000E+00  0.0000000000000000E+00
202102 -1.3547619047619000E-01 -2.4214285714285000E-01
202103  1.5544444444444000E+00  8.8817841970012000E-16
202104  2.3666666666666000E-01  1.7208456881689000E-15
202105 -5.8416666666666000E-01  8.3266726846886000E-16
202106  1.4061111111111000E+00  1.7763568394002000E-15
202107 -6.7055555555555000E-01  9.9920072216264000E-16
202108  8.9000000000000000E-01  8.8817841970012000E-16
202109  8.9000000000000000E-01  1.7763568394002000E-15
202110 -1.7800000000000000E+00  8.8817841970012000E-16
202111  5.5555555555648000E-04  1.8318679906315000E-15
202112  2.4450000000000000E+00  8.8817841970012000E-16
202201 -6.6611111111111000E-01  0.0000000000000000E+00
202202 -1.3547619047619000E-01 -2.4214285714285000E-01
202203  1.5544444444444000E+00  8.8817841970012000E-16
202204 -1.3188888888888000E+00  1.8873791418627000E-15
202205  2.5269444444444000E+00  6.6613381477509000E-16
202206 -1.4944444444444000E-01  1.8873791418627000E-15
202207 -2.2261111111111000E+00  8.8817841970012000E-16
202208  8.9000000000000000E-01  8.8817841970012000E-16
202209  8.9000000000000000E-01  1.7763568394002000E-15
202210 -1.7800000000000000E+00  8.8817841970012000E-16
202211  5.5555555555649000E-04  1.6653345369377000E-15
202212  8.8944444444444000E-01  8.8817841970012000E-16
202301  8.8944444444444000E-01 -2.2204460492503000E-16
202302 -1.3547619047619000E-01 -2.4214285714285000E-01
202303  1.5544444444444000E+00  8.8817841970012000E-16
202304 -2.8744444444444000E+00  1.5543122344752000E-15
202305 -5.8416666666666000E-01  8.8817841970012000E-16
202306  1.4061111111111000E+00  1.7763568394002000E-15
202307 -2.2261111111111000E+00  8.8817841970012000E-16
202308  8.9000000000000000E-01  8.8817841970012000E-16
202309 -6.6555555555555000E-01  1.7763568394002000E-15
202310 -2.2444444444444000E-01  8.8817841970012000E-16
202311  1.5561111111111000E+00  1.7763568394002000E-15
202312 -2.2216666666666000E+00  8.8817841970012000E-16
202401  8.8944444444444000E-01 -2.2204460492503000E-16
202402  8.6452380952381000E-01  7.5785714285714000E-01
202403 -1.5566666666666000E+00  8.8817841970012000E-16
202404  2.3666666666666000E-01  1.8873791418627000E-15
202405 -5.8416666666666000E-01  8.8817841970012000E-16
202406 -1.7050000000000000E+00  1.5543122344752000E-15
202407  2.4405555555555000E+00  8.8817841970012000E-16
202408 -6.6555555555555000E-01  9.9920072216264000E-16
202409 -6.6555555555555000E-01  1.7763568394002000E-15
202410  1.3311111111111000E+00  8.8817841970012000E-16
202411 -1.5550000000000000E+00  1.8873791418627000E-15
202412 -6.6611111111111000E-01  8.3266726846886000E-16
202501  8.8944444444444000E-01  0.0000000000000000E+00
202502 -1.3547619047619000E-01 -2.4214285714285000E-01
202503 -1.5566666666666000E+00  8.8817841970012000E-16
202504  2.3666666666666000E-01  1.7763568394002000E-15
202505 -5.8416666666666000E-01  8.8817841970012000E-16
202506 -1.7050000000000000E+00  1.5543122344752000E-15
202507  8.8500000000000000E-01  8.8817841970012000E-16
202508 -2.2211111111111000E+00  8.8817841970012000E-16
202509  8.9000000000000000E-01  1.7763568394002000E-15
202510  1.3311111111111000E+00  8.8817841970012000E-16
202511 -1.5550000000000000E+00  1.9984014443252000E-15
202512  8.8944444444444000E-01  7.7715611723761000E-16
202601 -6.6611111111111000E-01  0.0000000000000000E+00
202602 -1.3547619047619000E-01 -2.4214285714285000E-01
202603 -1.1111111111098000E-03  8.8817841970012000E-16
202604  2.3666666666666000E-01  1.7208456881689000E-15
202605 -3.6952777777777000E+00  8.8817841970012000E-16
202606  1.4061111111111000E+00  1.9984014443252000E-15
202607  8.8500000000000000E-01  9.9920072216264000E-16
202608 -6.6555555555555000E-01  8.8817841970012000E-16
202609  8.9000000000000000E-01  1.7763568394002000E-15
202610 -2.2444444444444000E-01  8.8817841970012000E-16
202611  5.5555555555648000E-04  1.8318679906315000E-15
202612  8.8944444444444000E-01  8.8817841970012000E-16
202701 -2.2216666666666000E+00  0.0000000000000000E+00
202702 -1.3547619047619000E-01 -2.4214285714285000E-01
202703 -1.1111111111098000E-03  8.8817841970012000E-16
202704  1.7922222222222000E+00  1.3322676295501000E-15
202705 -5.8416666666666000E-01  8.3266726846886000E-16
202706  1.4061111111111000E+00  1.7763568394002000E-15
202707 -6.7055555555555000E-01  9.9920072216264000E-16
202708  8.9000000000000000E-01  8.8817841970012000E-16
202709  8.9000000000000000E-01  1.7763568394002000E-15
202710 -1.7800000000000000E+00  8.8817841970012000E-16
202711  5.5555555555648000E-04  1.8318679906315000E-15
202712  2.4450000000000000E+00  8.8817841970012000E-16
202801 -6.6611111111111000E-01  0.0000000000000000E+00
202802  8.6452380952381000E-01  7.5785714285714000E-01
202803  1.5544444444444000E+00  8.8817841970012000E-16
202804 -2.8744444444444000E+00  1.5543122344752000E-15
202805  9.7138888888889000E-01  8.8817841970012000E-16
202806 -1.4944444444444000E-01  1.9984014443252000E-15
202807 -2.2261111111111000E+00  8.8817841970012000E-16
202808  8.9000000000000000E-01  8.8817841970012000E-16
202809 -6.6555555555555000E-01  1.7763568394002000E-15
202810 -2.2444444444444000E-01  8.8817841970012000E-16
202811  1.5561111111111000E+00  1.7763568394002000E-15
202812 -2.2216666666666000E+00  8.8817841970012000E-16
202901  8.8944444444444000E-01 -2.2204460492503000E-16
202902 -1.3547619047619000E-01 -2.4214285714285000E-01
202903 -1.1111111111098000E-03  8.8817841970012000E-16
202904 -1.3188888888888000E+00  1.8873791418627000E-15
202905 -5.8416666666666000E-01  6.6613381477509000E-16
202906 -1.4944444444444000E-01  1.7208456881689000E-15
202907  8.8500000000000000E-01  7.7715611723761000E-16
202908  8.9000000000000000E-01  7.7715611723761000E-16
202909 -2.2211111111111000E+00  1.7763568394002000E-15
202910  1.3311111111111000E+00  8.8817841970012000E-16
202911  1.5561111111111000E+00  1.9984014443252000E-15
202912 -2.2216666666666000E+00  8.8817841970012000E-16
203001  8.8944444444444000E-01 -1.1102230246251000E-16
203002 -1.3547619047619000E-01 -2.4214285714285000E-01
203003 -1.5566666666666000E+00  8.8817841970012000E-16
203004  2.3666666666666000E-01  1.8873791418627000E-15
203005  9.7138888888889000E-01  8.8817841970012000E-16
203006 -3.2605555555555000E+00  2.2204460492503000E-15
203007  2.4405555555555000E+00  8.8817841970012000E-16
203008 -6.6555555555555000E-01  9.9920072216264000E-16
203009 -6.6555555555555000E-01  1.7763568394002000E-15
203010  1.3311111111111000E+00  8.8817841970012000E-16
203011 -1.5550000000000000E+00  1.8873791418627000E-15
203012 -6.6611111111111000E-01  8.3266726846886000E-16
